Id,SalePrice
1461,123363.636
1462,153061.804
1463,176304.892
1464,177805.53
1465,198654.534
1466,179203.612
1467,166656.58
1468,166595.308
1469,177034.694
1470,117298.38
1471,188199.478
1472,99183.644
1473,101583.528
1474,155692.782
1475,129618.702
1476,328560.344
1477,255966.094
1478,274490.394
1479,253650.458
1480,398106.442
1481,299034.068
1482,202757.898
1483,169331.46
1484,165299.844
1485,165166.9
1486,188179.916
1487,317524.158
1488,244056.476
1489,191073.688
1490,194200.346
1491,185404.29
1492,104952.26
1493,179762.036
1494,313205.934
1495,294235.054
1496,210620.234
1497,182292.606
1498,152660.0
1499,150858.376
1500,150992.972
1501,168451.53
1502,151953.292
1503,261806.736
1504,237767.958
1505,208974.602
1506,190816.456
1507,236768.954
1508,210597.14
1509,164144.66
1510,141996.074
1511,142713.952
1512,169664.632
1513,161357.334
1514,179036.642
1515,197974.49
1516,163517.748
1517,144808.264
1518,156420.524
1519,219905.526
1520,128759.902
1521,134865.412
1522,170858.378
1523,110133.608
1524,110832.722
1525,119353.466
1526,121523.276
1527,108009.56
1528,125370.836
1529,136353.134
1530,166062.164
1531,144687.876
1532,102885.954
1533,142914.584
1534,113693.048
1535,153998.644
1536,118750.486
1537,105426.596
1538,172839.804
1539,233503.498
1540,147159.232
1541,147471.792
1542,140997.864
1543,211412.064
1544,87072.05
1545,102749.068
1546,122023.452
1547,133749.272
1548,129874.708
1549,110886.83
1550,143283.728
1551,123504.93
1552,156408.026
1553,140608.228
1554,114752.968
1555,175339.254
1556,102294.7
1557,127709.602
1558,101945.75
1559,124786.772
1560,154134.392
1561,172887.196
1562,116053.29
1563,113837.224
1564,161771.966
1565,151233.446
1566,223139.23
1567,91585.852
1568,224166.372
1569,154236.97
1570,128188.876
1571,139627.202
1572,141278.79
1573,233702.512
1574,135675.688
1575,209522.86
1576,222286.972
1577,188411.444
1578,148945.632
1579,135171.624
1580,194287.086
1581,127858.904
1582,123460.284
1583,328686.538
1584,242157.444
1585,135037.182
1586,84741.586
1587,104000.822
1588,138542.392
1589,105434.246
1590,134139.91
1591,102341.902
1592,132136.866
1593,116077.566
1594,155285.542
1595,132818.52
1596,233970.832
1597,193533.354
1598,183354.104
1599,187706.952
1600,188779.578
1601,75861.0
1602,112407.338
1603,95516.068
1604,254615.08
1605,262803.38
1606,162911.696
1607,203587.27
1608,212791.71
1609,183506.12
1610,152272.232
1611,144253.976
1612,167209.242
1613,170232.906
1614,114346.908
1615,88718.752
1616,84860.992
1617,91713.204
1618,118581.048
1619,123707.19
1620,192919.262
1621,140360.194
1622,139594.008
1623,291744.49
1624,204988.408
1625,121454.51
1626,176651.922
1627,185917.996
1628,272326.578
1629,176599.38
1630,299995.944
1631,216480.85
1632,248133.624
1633,165529.892
1634,176871.718
1635,175496.09
1636,158476.476
1637,198377.178
1638,222211.11
1639,187003.202
1640,257304.758
1641,191549.686
1642,210861.276
1643,239479.616
1644,226513.156
1645,197284.704
1646,152847.384
1647,168170.06
1648,133038.944
1649,131001.504
1650,118914.902
1651,117818.142
1652,98355.53
1653,100004.958
1654,163033.678
1655,151852.166
1656,155515.824
1657,163515.654
1658,156273.376
1659,135990.03
1660,140275.068
1661,383500.872
1662,332986.732
1663,330036.38
1664,396415.236
1665,280973.114
1666,302148.834
1667,318698.574
1668,293179.632
1669,269136.884
1670,308842.206
1671,261359.738
1672,397134.416
1673,300425.07
1674,255752.68
1675,180576.776
1676,180808.656
1677,196334.724
1678,386558.182
1679,340680.858
1680,280405.65
1681,229923.772
1682,282047.872
1683,184727.488
1684,168974.3
1685,165154.608
1686,168862.464
1687,161128.436
1688,181361.494
1689,181801.224
1690,175580.266
1691,169309.0
1692,253199.142
1693,160147.474
1694,176734.616
1695,167878.906
1696,290448.568
1697,169180.15
1698,346728.708
1699,321063.974
1700,240766.67
1701,265529.256
1702,262172.19
1703,257477.564
1704,295685.85
1705,219586.0
1706,374818.25
1707,195837.726
1708,197885.872
1709,275292.65
1710,224440.852
1711,246869.078
1712,255810.476
1713,252268.678
1714,213401.046
1715,190593.546
1716,175409.13
1717,160097.592
1718,134670.538
1719,198438.768
1720,254242.874
1721,164267.048
1722,127149.382
1723,152201.694
1724,206292.448
1725,228638.166
1726,180839.962
1727,166106.86
1728,176948.804
1729,157459.964
1730,177893.182
1731,117536.0
1732,128600.84
1733,117193.83
1734,126424.862
1735,122817.498
1736,111469.278
1737,356320.042
1738,206509.882
1739,287833.822
1740,204602.092
1741,173260.748
1742,167277.71
1743,171980.42
1744,288637.526
1745,214090.558
1746,250049.874
1747,229784.124
1748,220401.996
1749,155767.824
1750,145304.66
1751,235385.688
1752,114010.72
1753,160594.162
1754,231283.386
1755,164384.384
1756,117510.316
1757,111874.606
1758,157014.022
1759,178205.202
1760,158340.084
1761,153209.624
1762,189100.326
1763,172896.34
1764,109228.134
1765,180860.142
1766,181675.028
1767,210789.116
1768,130900.794
1769,169984.582
1770,136425.916
1771,127518.568
1772,139494.24
1773,133271.034
1774,162600.422
1775,127580.682
1776,111402.312
1777,106293.85
1778,119160.39
1779,118276.532
1780,179458.48
1781,124260.116
1782,95688.304
1783,132242.134
1784,95794.818
1785,115068.136
1786,173907.616
1787,173278.35
1788,74631.99
1789,103506.55
1790,86922.114
1791,222030.084
1792,151353.874
1793,140018.05
1794,133232.134
1795,133518.606
1796,118279.658
1797,128309.748
1798,117527.932
1799,106354.804
1800,118818.506
1801,127710.4
1802,155966.932
1803,163647.882
1804,133580.172
1805,128656.062
1806,119222.928
1807,159227.126
